Date;Time of day;Total[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other[MWh]
Jan 1, 2017;12:00 AM;52,628;800;3,240;0;36,524
Jan 1, 2017;12:15 AM;-;800;3,230;0;-
Jan 1, 2017;12:30 AM;-;801;3,221;0;-
Jan 1, 2017;12:45 AM;-;801;3,212;0;-
Jan 1, 2017;1:00 AM;51,289;797;3,208;0;35,326
Jan 1, 2017;1:15 AM;-;797;3,199;0;-
Jan 1, 2017;1:30 AM;-;796;3,190;0;-
Jan 1, 2017;1:45 AM;-;795;3,181;0;-
Jan 1, 2017;2:00 AM;50,775;794;3,185;0;34,882
Jan 1, 2017;2:15 AM;-;795;3,180;0;-
Jan 1, 2017;2:30 AM;-;795;3,177;0;-
Jan 1, 2017;2:45 AM;-;794;3,174;0;-
Jan 1, 2017;3:00 AM;50,710;795;3,169;0;34,905
Jan 1, 2017;3:15 AM;-;794;3,162;0;-
Jan 1, 2017;3:30 AM;-;793;3,155;0;-
Jan 1, 2017;3:45 AM;-;792;3,147;0;-
Jan 1, 2017;4:00 AM;50,194;791;3,139;0;34,453
Jan 1, 2017;4:15 AM;-;790;3,143;0;-
Jan 1, 2017;4:30 AM;-;791;3,147;0;-
Jan 1, 2017;4:45 AM;-;790;3,152;0;-
Jan 1, 2017;5:00 AM;49,831;791;3,158;0;33,950
Jan 1, 2017;5:15 AM;-;790;3,173;0;-
Jan 1, 2017;5:30 AM;-;791;3,187;0;-
Jan 1, 2017;5:45 AM;-;791;3,202;0;-
Jan 1, 2017;6:00 AM;49,539;792;3,219;0;33,418
Jan 1, 2017;6:15 AM;-;792;3,231;0;-
Jan 1, 2017;6:30 AM;-;793;3,243;0;-
Jan 1, 2017;6:45 AM;-;794;3,257;0;-
Jan 1, 2017;7:00 AM;50,427;793;3,273;0;34,036
Jan 1, 2017;7:15 AM;-;785;3,301;0;-
Jan 1, 2017;7:30 AM;-;779;3,329;1;-
Jan 1, 2017;7:45 AM;-;772;3,358;1;-
Jan 1, 2017;8:00 AM;52,399;765;3,385;9;35,283
Jan 1, 2017;8:15 AM;-;756;3,411;43;-
Jan 1, 2017;8:30 AM;-;749;3,435;123;-
Jan 1, 2017;8:45 AM;-;742;3,459;241;-
Jan 1, 2017;9:00 AM;57,494;736;3,477;393;38,061
Jan 1, 2017;9:15 AM;-;730;3,486;550;-
Jan 1, 2017;9:30 AM;-;722;3,496;723;-
Jan 1, 2017;9:45 AM;-;715;3,507;899;-
Jan 1, 2017;10:00 AM;62,254;703;3,513;1,076;40,470
Jan 1, 2017;10:15 AM;-;678;3,487;1,236;-
Jan 1, 2017;10:30 AM;-;653;3,459;1,391;-
Jan 1, 2017;10:45 AM;-;628;3,430;1,532;-
Jan 1, 2017;11:00 AM;66,227;603;3,398;1,655;43,416
Jan 1, 2017;11:15 AM;-;580;3,363;1,755;-
Jan 1, 2017;11:30 AM;-;555;3,330;1,841;-
Jan 1, 2017;11:45 AM;-;529;3,296;1,908;-
Jan 1, 2017;12:00 PM;66,869;511;3,261;1,951;44,299
Jan 1, 2017;12:15 PM;-;505;3,214;1,965;-
Jan 1, 2017;12:30 PM;-;497;3,168;1,957;-
Jan 1, 2017;12:45 PM;-;488;3,125;1,931;-
Jan 1, 2017;1:00 PM;64,016;474;3,091;1,879;42,958
Jan 1, 2017;1:15 PM;-;460;3,082;1,799;-
Jan 1, 2017;1:30 PM;-;441;3,077;1,693;-
Jan 1, 2017;1:45 PM;-;425;3,069;1,570;-
Jan 1, 2017;2:00 PM;59,029;412;3,067;1,429;40,391
