Date;Time of day;Total[MWh]
Jan 1, 2015;12:00 AM;10,738.75
Jan 1, 2015;12:15 AM;10,603
Jan 1, 2015;12:30 AM;10,475.25
Jan 1, 2015;12:45 AM;10,338.75
Jan 1, 2015;1:00 AM;10,177.5
Jan 1, 2015;1:15 AM;10,051
Jan 1, 2015;1:30 AM;9,910
Jan 1, 2015;1:45 AM;9,831
Jan 1, 2015;2:00 AM;9,750.5
Jan 1, 2015;2:15 AM;9,717.25
Jan 1, 2015;2:30 AM;9,695.75
Jan 1, 2015;2:45 AM;9,649.5
Jan 1, 2015;3:00 AM;9,656.5
Jan 1, 2015;3:15 AM;9,614.75
Jan 1, 2015;3:30 AM;9,603.5
Jan 1, 2015;3:45 AM;9,615.25
Jan 1, 2015;4:00 AM;9,639.75
Jan 1, 2015;4:15 AM;9,622.5
Jan 1, 2015;4:30 AM;9,678.25
Jan 1, 2015;4:45 AM;9,703.25
Jan 1, 2015;5:00 AM;9,719
Jan 1, 2015;5:15 AM;9,707
Jan 1, 2015;5:30 AM;9,701.75
Jan 1, 2015;5:45 AM;9,645.5
Jan 1, 2015;6:00 AM;9,364
Jan 1, 2015;6:15 AM;9,154.5
Jan 1, 2015;6:30 AM;9,292.5
Jan 1, 2015;6:45 AM;9,436.5
Jan 1, 2015;7:00 AM;9,777.75
Jan 1, 2015;7:15 AM;10,108
Jan 1, 2015;7:30 AM;10,186.25
Jan 1, 2015;7:45 AM;10,299.5
Jan 1, 2015;8:00 AM;10,511.75
Jan 1, 2015;8:15 AM;10,624.25
Jan 1, 2015;8:30 AM;10,614.5
Jan 1, 2015;8:45 AM;10,771.5
Jan 1, 2015;9:00 AM;11,032
Jan 1, 2015;9:15 AM;11,226.75
Jan 1, 2015;9:30 AM;11,330.25
Jan 1, 2015;9:45 AM;11,431.5
Jan 1, 2015;10:00 AM;11,540
Jan 1, 2015;10:15 AM;11,686.25
Jan 1, 2015;10:30 AM;11,888.75
Jan 1, 2015;10:45 AM;11,986
Jan 1, 2015;11:00 AM;12,216.25
Jan 1, 2015;11:15 AM;12,345.5
Jan 1, 2015;11:30 AM;12,508.25
Jan 1, 2015;11:45 AM;12,533.25
Jan 1, 2015;12:00 PM;12,544.5
Jan 1, 2015;12:15 PM;12,557.75
Jan 1, 2015;12:30 PM;12,537.5
Jan 1, 2015;12:45 PM;12,270
Jan 1, 2015;1:00 PM;11,900.5
Jan 1, 2015;1:15 PM;11,815.75
Jan 1, 2015;1:30 PM;11,950
Jan 1, 2015;1:45 PM;11,861.75
Jan 1, 2015;2:00 PM;11,654.75
Jan 1, 2015;2:15 PM;11,745.75
Jan 1, 2015;2:30 PM;11,908.75
Jan 1, 2015;2:45 PM;11,787.25
Jan 1, 2015;3:00 PM;11,855.75
Jan 1, 2015;3:15 PM;11,859
Jan 1, 2015;3:30 PM;11,817.5
Jan 1, 2015;3:45 PM;11,850.75
Jan 1, 2015;4:00 PM;11,959.5
Jan 1, 2015;4:15 PM;12,045.25
Jan 1, 2015;4:30 PM;12,308.5
Jan 1, 2015;4:45 PM;12,622.5
Jan 1, 2015;5:00 PM;12,826.75
Jan 1, 2015;5:15 PM;13,037.25
Jan 1, 2015;5:30 PM;13,188.25
Jan 1, 2015;5:45 PM;13,235.75
Jan 1, 2015;6:00 PM;13,343.75
Jan 1, 2015;6:15 PM;13,374
Jan 1, 2015;6:30 PM;13,355.25
Jan 1, 2015;6:45 PM;13,294.25
Jan 1, 2015;7:00 PM;13,296.5
Jan 1, 2015;7:15 PM;13,218.25
Jan 1, 2015;7:30 PM;13,120.25
Jan 1, 2015;7:45 PM;12,963.75
Jan 1, 2015;8:00 PM;12,817.75
Jan 1, 2015;8:15 PM;12,590.25
Jan 1, 2015;8:30 PM;12,378.25
Jan 1, 2015;8:45 PM;12,234
Jan 1, 2015;9:00 PM;12,235.25
Jan 1, 2015;9:15 PM;12,182
Jan 1, 2015;9:30 PM;11,843
Jan 1, 2015;9:45 PM;11,836
Jan 1, 2015;10:00 PM;12,019.75
Jan 1, 2015;10:15 PM;11,942.75
Jan 1, 2015;10:30 PM;12,020
Jan 1, 2015;10:45 PM;11,821
Jan 1, 2015;11:00 PM;11,669.25
Jan 1, 2015;11:15 PM;11,516.75
Jan 1, 2015;11:30 PM;11,025
Jan 1, 2015;11:45 PM;10,665
Jan 2, 2015;12:00 AM;10,303.75
Jan 2, 2015;12:15 AM;9,763.75
Jan 2, 2015;12:30 AM;10,059.5
Jan 2, 2015;12:45 AM;9,951.25
Jan 2, 2015;1:00 AM;9,814.25
Jan 2, 2015;1:15 AM;9,700.75
Jan 2, 2015;1:30 AM;9,629.25
Jan 2, 2015;1:45 AM;9,567.25
Jan 2, 2015;2:00 AM;9,470.5
Jan 2, 2015;2:15 AM;9,454.25
Jan 2, 2015;2:30 AM;9,457.75
Jan 2, 2015;2:45 AM;9,437.25
Jan 2, 2015;3:00 AM;9,469.25
Jan 2, 2015;3:15 AM;9,448.5
Jan 2, 2015;3:30 AM;9,433.75
Jan 2, 2015;3:45 AM;9,476.75
Jan 2, 2015;4:00 AM;9,634.25
Jan 2, 2015;4:15 AM;9,669.75
